Row Labels,Sum of max_views,Sum of max_comment_count,Sum of max_likes
CAN,"14,355,357,196","58,672,221","445,741,673"
GBR,"11,019,124,452","25,227,247","241,850,500"
DNK,"9,493,636,518","40,985,649","309,537,416"
USA,"7,999,448,167","29,760,561","241,211,216"
FRA,"6,869,511,746","26,335,693","245,712,618"
