channel_title,country,max_likes
SelenaGomezVEVO,FR,550030
SelenaGomezVEVO,DE,550028
MigosVEVO,US,548457
Bad Bunny,FR,544514
Bad Bunny,DE,544483
Universal Pictures,CA,544117
shakiraVEVO,FR,542011
shakiraVEVO,DE,542010
WINNER,US,540649
WINNER,GB,540649
Wylsacom,DE,535674
WORLDSTARHIPHOP,DE,535247
WORLDSTARHIPHOP,CA,535247
RiceGum,CA,533113
20th Century Fox,CA,532660
CNCOVEVO,GB,532063
TroyeSivanVEVO,GB,528254
Liza Koshy,US,527481
Vogue,GB,525450
Cole Bennett,GB,524685
Universal Pictures,DE,523448
shane,CA,521798
FARRUKOVEVO,GB,520998
KatyPerryVEVO,FR,519162
Update Music TV,GB,516813
TheAngryGrandpaShow,CA,513217
20th Century Fox,DE,512740
SEVENTEEN,GB,510643
PTXofficial,GB,510639
EnriqueIglesiasVEVO,CA,507793
PinkVEVO,US,504791
KendrickLamarVEVO,DE,504180
KendrickLamarVEVO,FR,504180
Bazzi,GB,502488
Amit Bhadana,CA,502037
TheEllenShow,GB,499673
TroyeSivanVEVO,US,498384
shane,US,496499
iKON,US,495588
SOBOLEV,CA,495277
SOBOLEV,DE,495270
How Ridiculous,US,493804
FoxStarHindi,CA,492631
KarolGVEVO,GB,491089
BANGTANTV,US,490749
20th Century Fox,FR,485947
The Slow Mo Guys,US,481888
Conor Maynard,US,479666
RiceGum,DE,479064
Haarika & Hassine Creations,CA,476855
Vogue,US,476724
RichTheKidVEVO,GB,476638
FiftyShadesVEVO,US,475593
FiftyShadesVEVO,GB,475592
How Ridiculous,CA,475289
ashish chanchlani vines,CA,474828
TroyeSivanVEVO,CA,472947
LouisTomlinsonVEVO,GB,472504
WORLDSTARHIPHOP,FR,471621
Daddy Yankee,CA,467428
RaeSremmurdVEVO,GB,464054
JacksonWangVEVO,GB,464004
xxxtentacion,CA,463789
Liza Koshy,CA,461727
Disney•Pixar,GB,461135
Vogue,CA,458893
MeghanTrainorVEVO,GB,455891
Haarika & Hassine Creations,DE,451509
Maroon5VEVO,US,450885
Wunderbar Studios,CA,449649
KSI,FR,448784
Jake Paul,CA,448453
NickyJamTV,FR,448371
EnriqueIglesiasVEVO,FR,446958
EnriqueIglesiasVEVO,DE,446956
TheEllenShow,CA,445927
PinkVEVO,CA,444729
Disney•Pixar,US,444698
CalvinHarrisVEVO,GB,443953
CalvinHarrisVEVO,US,443953
TWICE JAPAN OFFICIAL YouTube Channel,GB,443466
Cardi B,GB,443444
Vevo,GB,441246
The Slow Mo Guys,CA,439811
ChainsmokersVEVO,CA,439799
WIRED,US,436454
WIRED,GB,436454
HalseyVEVO,GB,436075
DavidBisbalVEVO,GB,432913
Cyprien,CA,430612
TRYANGLE FILMS,US,430160
WIRED,CA,429398
Disney•Pixar,CA,424047
SelenaGomezVEVO,GB,422697
TroyeSivanVEVO,DE,420500
MalumaVEVO,FR,420321
How Ridiculous,DE,420038
Cyprien,FR,419311
Marshmello,CA,418594
Marshmello,DE,418594
TheOdd1sOut,GB,417467
carlos eduardo braca ortega,CA,417156
LIVELOVEASAPVEVO,GB,414346
Pina Records,CA,412821
MoreWolfie,CA,409848
Disney•Pixar,DE,409788
Wunderbar Studios,FR,408531
Wunderbar Studios,DE,408530
Lucas the Spider,GB,408031
LouisTomlinsonVEVO,US,406872
PTXofficial,US,406136
WIRED,DE,405861
Sony Pictures India,CA,404788
TheAngryGrandpaShow,DE,404720
FiftyShadesVEVO,CA,404238
Mnet K-POP,GB,402374
The Weeknd,CA,401558
Marshmello,FR,399510
h3h3Productions,GB,399135
NickiMinajAtVEVO,GB,398356
5SOSVEVO,GB,397861
ImagineDragonsVEVO,US,397715
Vevo,US,396450
ChrisJedayVEVO,GB,395019
starshipTV,GB,394868
Disney•Pixar,FR,394717
GEazyMusicVEVO,FR,394643
GEazyMusicVEVO,DE,394641
Post Malone,CA,394425
SpaceX,GB,392249
Poll Production,DE,391983
TRYANGLE FILMS,DE,390174
TRYANGLE FILMS,CA,390174
Jake Paul,DE,386849
TheOdd1sOut,US,386330
Liza Koshy,DE,385175
SpaceX,US,384958
h3h3Productions,CA,383858
Mnet K-POP,US,383140
5SOSVEVO,US,381842
MalumaVEVO,GB,381578
RomeoSantosVEVO,CA,380861
Cardi B,US,380464
JayRockVEVO,US,380406
OVO Sound,FR,380248
OVO Sound,DE,380236
SpaceX,CA,379285
MrBeast,GB,379006
TheOdd1sOut,CA,378450
Update Music TV,DE,378291
5-Minute Crafts,US,378111
Lucas the Spider,US,376565
PinkVEVO,DE,375539
20th Century Fox,GB,374690
TroyeSivanVEVO,FR,374369
How Ridiculous,FR,373735
ChainsmokersVEVO,DE,373088
KhalidVEVO,GB,372155
NickiMinajAtVEVO,CA,371558
MeghanTrainorVEVO,US,371137
Vevo,CA,369976
Safiya Nygaard,US,369790
SpaceX,DE,369244
Dwarf Mamba,US,368569
BTS Videos,GB,366328
Алексей Навальный,US,365439
21SavageVEVO,CA,365271
20th Century Fox,US,363428
h3h3Productions,DE,363298
TRYANGLE FILMS,FR,362004
Tyler. The Creator,GB,361923
FiftyShadesVEVO,DE,360902
Maroon5VEVO,CA,360456
WIRED,FR,360340
DVV Entertainments,CA,359853
